Product name, Price,
Handycam® 4K AX43 con sensor CMOS Exmor R™,$ 719.990
Videocámara FDR-AX700 4K HDR,$ 1.199.990
Handycam® 4K AX53 con sensor Exmor R® CMOS,No price listed
Handycam® 4K AX40 con sensor Exmor R® CMOS,No price listed
CX675 Handycam® con sensor Exmor R™ CMOS,No price listed
CX455 Handycam® con sensor Exmor R™ CMOS,No price listed
Handycam® 4K AXP35 con proyector integrado,No price listed
Handycam® PJ670 con proyector incorporado,No price listed
Handycam® CX440 con sensor CMOS Exmor R®,$ 199.990
Handycam® CX405 con sensor Exmor R® CMOS,$ 189.989
Videocámara Handycam® PJ270 con proyector integrado,No price listed
